Male,United States,42,Data Scientist,Python,Bachelor's degree,Electrical Engineering,Less than a year,A master's degree
Female,New Zealand,28,Machine Learning Engineer,Python,Master's degree,Computer Science,Less than a year,A bachelor's degree
Male,Japan,,,,,,,
Male,Colombia,29,,Python,Professional degree,,Less than a year,A professional degree
Female,Mexico,37,DBA/Database Engineer,SQL,Master's degree,Computer Science,Less than a year,A master's degree
Male,United States,31,,Python,Master's degree,Biology,,A bachelor's degree
Male,Russia,26,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,United States,27,Data Scientist,SQL,Master's degree,Management information systems,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Italy,22,,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,,
Male,United States,23,Software Developer/Software Engineer,Python,Master's degree,Computer Science,Less than a year,A bachelor's degree
Male,United States,52,Scientist/Researcher,Python,Doctoral degree,Electrical Engineering,More than 10 years,A bachelor's degree
Female,United States,25,,Python,Master's degree,Physics,,
Male,United States,25,,R,Master's degree,"Information technology, networking, or system administration",1 to 2 years,
Male,France,26,Software Developer/Software Engineer,Python,Master's degree,Computer Science,Less than a year,A master's degree
Male,India,25,Data Scientist,R,Bachelor's degree,Other,3 to 5 years,A doctoral degree
Male,United States,15,,Python,I prefer not to answer,Computer Science,,A master's degree
Male,India,19,,Python,Master's degree,Computer Science,,A bachelor's degree
Male,United States,26,Data Scientist,SQL,Bachelor's degree,,1 to 2 years,A bachelor's degree
Male,United States,29,,R,Master's degree,,1 to 2 years,A bachelor's degree
Male,United States,29,,Python,Bachelor's degree,A humanities discipline,,
Male,Australia,38,Software Developer/Software Engineer,Python,Doctoral degree,A humanities discipline,6 to 10 years,A doctoral degree
Male,Russia,30,,Python,Master's degree,Biology,,A doctoral degree
Male,Italy,23,,Python,Bachelor's degree,Computer Science,,A master's degree
Male,United States,42,Business Analyst,Python,Master's degree,Management information systems,Less than a year,
Male,United States,24,Software Developer/Software Engineer,R,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Female,United States,18,,,,,,
Female,United Kingdom,26,,Python,Master's degree,Psychology,,A bachelor's degree
Female,United States,23,,R,Master's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,Netherlands,24,,Python,Bachelor's degree,Physics,,
Male,United States,22,Researcher,R,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,A professional degree
Female,United States,25,Scientist/Researcher,Python,Doctoral degree,Electrical Engineering,3 to 5 years,A doctoral degree
Female,Other,20,,Python,Master's degree,Computer Science,Less than a year,A master's degree
Male,Germany,40,,,,,,
Male,France,38,DBA/Database Engineer,C/C++/C#,Master's degree,A health science,1 to 2 years,High school
Male,United States,21,Software Developer/Software Engineer,R,I prefer not to answer,Management information systems,1 to 2 years,
Male,Czech Republic,25,Software Developer/Software Engineer,SQL,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,United States,48,,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,A doctoral degree
Male,Poland,21,,C/C++/C#,I did not complete any formal education past high school,,1 to 2 years,A master's degree
Male,South Korea,27,Business Analyst,SQL,Bachelor's degree,Mathematics or statistics,1 to 2 years,A master's degree
Male,Brazil,20,,,,,,
Male,Turkey,24,,Python,Master's degree,Computer Science,,"Some college/university study, no bachelor's degree"
Male,Denmark,31,Software Developer/Software Engineer,Python,Master's degree,Electrical Engineering,3 to 5 years,I prefer not to answer
Male,Other,28,Engineer,Python,Master's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Canada,19,,Java,Some college/university study without earning a bachelor's degree,Mathematics or statistics,,A bachelor's degree
Female,United States,26,,Python,Master's degree,Electrical Engineering,1 to 2 years,A master's degree
Female,South Korea,36,Researcher,Python,Master's degree,A humanities discipline,Less than a year,A bachelor's degree
Male,Pakistan,37,Engineer,Other,Bachelor's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,Nigeria,22,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,United States,32,Other,R,Doctoral degree,Computer Science,3 to 5 years,High school
Male,United States,25,,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,France,32,Researcher,Python,Doctoral degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,United States,36,Business Analyst,R,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,United States,31,Scientist/Researcher,Python,Doctoral degree,Physics,6 to 10 years,A master's degree
Male,Belgium,41,Other,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,
Male,United States,25,,Python,Master's degree,Computer Science,,A bachelor's degree
Male,United States,27,,Python,Bachelor's degree,Engineering (non-computer focused),Less than a year,A master's degree
Male,Russia,22,Other,Python,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,New Zealand,58,Data Scientist,Python,Doctoral degree,,More than 10 years,A doctoral degree
Male,United States,46,Other,Python,Bachelor's degree,,More than 10 years,A doctoral degree
Male,Other,37,Researcher,R,Master's degree,Computer Science,Less than a year,High school
Male,Russia,35,Other,Python,Bachelor's degree,Psychology,Less than a year,A master's degree
Male,United States,23,Researcher,SQL,Bachelor's degree,A social science,Less than a year,"Some college/university study, no bachelor's degree"
Female,United States,31,Data Analyst,Python,Bachelor's degree,Other,Less than a year,A professional degree
Male,United States,22,,Python,Bachelor's degree,Other,3 to 5 years,A master's degree
Male,Germany,32,,Python,Master's degree,Computer Science,Less than a year,A master's degree
Female,Japan,27,Engineer,,Master's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Female,France,36,Data Analyst,R,Master's degree,"Information technology, networking, or system administration",3 to 5 years,
Female,United Kingdom,55,Data Analyst,R,I did not complete any formal education past high school,,More than 10 years,Primary/elementary school
Male,Nigeria,42,Business Analyst,R,Master's degree,Mathematics or statistics,I don't write code to analyze data,A doctoral degree
Male,Other,44,Data Scientist,R,Master's degree,Computer Science,6 to 10 years,"Some college/university study, no bachelor's degree"
Female,United States,26,Other,Python,Master's degree,Mathematics or statistics,1 to 2 years,A professional degree
Male,United States,16,,,I did not complete any formal education past high school,,,A bachelor's degree
Female,Australia,26,,R,Bachelor's degree,Other,Less than a year,A bachelor's degree
Female,United States,,Software Developer/Software Engineer,Python,Master's degree,Engineering (non-computer focused),More than 10 years,Primary/elementary school
,,,Scientist/Researcher,Stata,Bachelor's degree,A social science,3 to 5 years,
Male,Chile,30,Machine Learning Engineer,Python,Doctoral degree,Electrical Engineering,3 to 5 years,A master's degree
Male,United States,22,Researcher,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A master's degree
Male,Colombia,25,Machine Learning Engineer,,Bachelor's degree,Computer Science,3 to 5 years,A doctoral degree
Male,United States,37,Data Analyst,R,Master's degree,Physics,More than 10 years,"Some college/university study, no bachelor's degree"
Male,Mexico,21,Engineer,Other,Bachelor's degree,Other,1 to 2 years,A bachelor's degree
Male,Russia,19,,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,A master's degree
Male,Colombia,24,Business Analyst,SQL,Bachelor's degree,Engineering (non-computer focused),Less than a year,A professional degree
Male,United States,27,Software Developer/Software Engineer,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,High school
Male,United States,30,Engineer,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,A bachelor's degree
Male,United States,31,Data Scientist,R,Professional degree,,1 to 2 years,A master's degree
Male,Canada,30,Other,Python,Some college/university study without earning a bachelor's degree,A health science,3 to 5 years,A bachelor's degree
Female,Australia,35,Data Analyst,SAS,Master's degree,A humanities discipline,3 to 5 years,High school
Male,Canada,23,,Python,Bachelor's degree,Engineering (non-computer focused),,A master's degree
Female,United States,36,Statistician,,Master's degree,Other,3 to 5 years,I prefer not to answer
Male,United States,36,Data Scientist,Scala,Master's degree,A social science,3 to 5 years,
Male,Canada,27,,R,Bachelor's degree,A social science,1 to 2 years,A professional degree
Male,India,19,,Python,Some college/university study without earning a bachelor's degree,Other,,A bachelor's degree
Male,Mexico,23,,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,A bachelor's degree
Male,United States,57,Predictive Modeler,R,Master's degree,Other,1 to 2 years,A master's degree
Male,New Zealand,44,,,,,,
A different identity,United States,37,Software Developer/Software Engineer,C/C++/C#,Master's degree,Computer Science,More than 10 years,A professional degree
Male,Mexico,25,Other,C/C++/C#,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,I don't know/not sure
Male,United States,40,,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,High school
Male,United States,25,Software Developer/Software Engineer,Scala,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,United States,23,,,,,,
Female,United States,25,Data Analyst,Python,Master's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,United States,29,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,6 to 10 years,A master's degree
Male,Egypt,22,,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Brazil,29,Machine Learning Engineer,Python,Professional degree,,1 to 2 years,High school
Female,Malaysia,29,Other,R,Bachelor's degree,,Less than a year,High school
,,,Data Scientist,,Bachelor's degree,Computer Science,6 to 10 years,A bachelor's degree
Male,United States,23,,,,,,
Female,United States,28,Data Scientist,Python,Master's degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,United States,29,Business Analyst,Python,Bachelor's degree,Physics,3 to 5 years,A bachelor's degree
Male,Italy,32,Other,Matlab,Master's degree,Mathematics or statistics,6 to 10 years,High school
